,ItemCode,#sales,stage,WeeklySales
33,59749,21,test,"[55, 47, 45, 44, 35, 32, 18, 26, 44, 37, 38, 44, 28, 44, 28, 38, 61, 70, 82, 99, 83]"
34,64978,21,validation,"[3, 4, 1, 3, 5, 5, 4, 2, 8, 3, 2, 6, 4, 7, 3, 12, 9, 6, 3, 3, 2]"
35,65788,21,test,"[12, 8, 9, 17, 9, 9, 6, 26, 46, 54, 52, 32, 4, 12, 8, 10, 15, 13, 11, 7, 14]"
36,75886,21,test,"[9, 9, 0, 6, 12, 14, 3, 7, 12, 8, 10, 10, 3, 9, 3, 13, 15, 8, 17, 7, 13]"
37,76399,19,validation,"[45, 39, 60, 55, 18, 21, 11, 12, 31, 23, 18, 35, 29, 19, 25, 16, 31, 39, 25]"
38,86974,21,test,"[36, 23, 25, 0, 23, 0, 4, 12, 20, 17, 2, 1, 35, 1, 14, 11, 8, 30, 20, 19, 43]"
39,86992,21,test,"[41, 52, 72, 79, 75, 104, 37, 5, 43, 31, 37, 45, 41, 33, 61, 50, 43, 54, 65, 55, 71]"
40,87046,21,test,"[7, 13, 10, 0, 0, 0, 4, 6, 6, 6, 1, 0, 11, 15, 7, 5, 7, 17, 12, 17, 18]"
41,87559,21,test,"[28, 31, 18, 31, 29, 30, 10, 8, 30, 11, 18, 21, 13, 14, 24, 14, 15, 15, 48, 34, 54]"
42,88450,21,test,"[30, 85, 83, 85, 74, 96, 69, 65, 91, 139, 64, 137, 142, 123, 93, 115, 48, 99, 61, 111, 106]"
43,99079,21,validation,"[23, 12, 36, 16, 16, 17, 6, 9, 20, 13, 12, 23, 25, 15, 19, 32, 21, 17, 14, 35, 21]"
44,110320,21,validation,"[47, 54, 52, 46, 28, 31, 10, 13, 37, 36, 22, 48, 49, 38, 40, 50, 54, 53, 58, 47, 48]"
45,111382,21,validation,"[9, 11, 9, 11, 13, 10, 4, 8, 24, 21, 11, 18, 11, 15, 10, 16, 16, 15, 7, 7, 18]"
46,111436,21,validation,"[6, 13, 17, 7, 9, 9, 4, 3, 6, 11, 6, 6, 2, 5, 4, 8, 20, 14, 14, 8, 19]"
47,117610,21,test,"[6, 11, 6, 7, 10, 7, 3, 4, 11, 11, 14, 27, 65, 29, 21, 26, 7, 4, 28, 8, 11]"
48,118033,21,validation,"[27, 14, 14, 21, 18, 8, 6, 7, 7, 12, 12, 13, 11, 16, 16, 12, 11, 8, 11, 13, 37]"
49,119554,21,test,"[265, 196, 196, 150, 192, 140, 55, 26, 108, 120, 110, 109, 137, 127, 139, 217, 166, 207, 140, 184, 164]"
50,123307,21,validation,"[632, 539, 527, 356, 376, 555, 235, 242, 569, 493, 378, 552, 330, 397, 332, 409, 400, 396, 516, 683, 731]"
51,124774,21,validation,"[21, 49, 20, 2, 0, 7, 15, 3, 26, 25, 23, 19, 22, 15, 25, 20, 24, 27, 49, 17, 25]"
52,124954,21,validation,"[20, 13, 8, 30, 27, 32, 20, 7, 9, 13, 18, 31, 39, 35, 49, 23, 15, 14, 19, 12, 17]"
53,130993,21,test,"[8, 29, 25, 12, 6, 45, 32, 7, 19, 7, 13, 7, 43, 37, 41, 7, 7, 12, 5, 15, 29]"
54,131983,21,validation,"[37, 24, 29, 39, 31, 37, 18, 18, 44, 40, 33, 20, 30, 31, 55, 32, 30, 39, 33, 45, 41]"
55,132028,21,validation,"[143, 147, 198, 227, 117, 142, 61, 97, 133, 132, 109, 154, 211, 193, 108, 225, 219, 127, 113, 140, 86]"
56,132334,21,validation,"[29, 22, 23, 16, 15, 13, 5, 11, 14, 20, 11, 7, 12, 20, 19, 42, 44, 34, 31, 25, 37]"
57,138742,21,validation,"[21, 14, 42, 22, 18, 20, 19, 9, 36, 21, 13, 30, 24, 20, 25, 22, 34, 24, 34, 27, 15]"
58,142756,21,test,"[34, 62, 63, 48, 28, 83, 21, 10, 43, 31, 45, 33, 35, 28, 28, 38, 26, 19, 47, 47, 33]"
59,145330,21,test,"[17, 9, 14, 16, 10, 11, 7, 7, 11, 20, 6, 9, 3, 8, 10, 9, 21, 15, 20, 24, 15]"
60,145978,21,test,"[49, 32, 41, 51, 33, 32, 13, 20, 35, 32, 34, 31, 27, 23, 30, 44, 49, 31, 56, 46, 38]"
61,169504,21,validation,"[635, 507, 515, 689, 271, 371, 275, 311, 780, 511, 808, 685, 664, 686, 720, 676, 604, 697, 737, 534, 662]"
62,172033,21,test,"[19, 7, 9, 11, 16, 5, 6, 18, 44, 20, 22, 47, 178, 177, 99, 77, 12, 15, 23, 13, 10]"
63,172582,21,test,"[24, 23, 16, 21, 14, 16, 11, 13, 18, 17, 12, 26, 16, 9, 13, 25, 28, 39, 17, 16, 18]"
64,173617,21,validation,"[44, 29, 12, 22, 17, 18, 12, 7, 21, 24, 18, 26, 16, 0, 6, 12, 18, 14, 90, 23, 41]"
65,174436,21,validation,"[41, 45, 45, 62, 61, 47, 54, 35, 64, 60, 69, 85, 62, 73, 47, 90, 63, 45, 51, 41, 37]"
66,210652,21,validation,"[12, 11, 15, 8, 3, 12, 7, 1, 5, 3, 7, 5, 11, 10, 1, 13, 9, 2, 10, 1, 6]"
67,210868,20,test,"[8, 16, 12, 11, 14, 4, 2, 11, 9, 0, 6, 8, 5, 5, 6, 14, 5, 7, 10, 6]"
68,211309,21,validation,"[7, 3, 18, 21, 30, 14, 11, 11, 12, 24, 10, 10, 10, 13, 25, 9, 12, 12, 19, 11, 7]"
69,213802,21,test,"[8, 9, 7, 9, 17, 7, 3, 5, 11, 14, 11, 8, 6, 6, 3, 7, 15, 11, 9, 9, 4]"
70,216151,21,test,"[17, 23, 18, 20, 14, 13, 3, 8, 12, 20, 18, 12, 9, 30, 19, 15, 14, 19, 14, 17, 16]"
71,225259,21,test,"[0, 20, 14, 5, 23, 14, 1, 8, 17, 11, 15, 11, 5, 9, 10, 10, 18, 15, 14, 14, 9]"
72,245581,21,validation,"[80, 136, 118, 188, 143, 153, 83, 24, 66, 89, 59, 111, 56, 88, 54, 76, 74, 104, 76, 93, 96]"
73,248272,21,validation,"[20, 26, 9, 28, 19, 19, 16, 14, 17, 0, 0, 0, 30, 24, 29, 24, 16, 13, 16, 24, 25]"
74,262384,21,validation,"[11, 20, 14, 13, 17, 16, 5, 3, 9, 7, 13, 14, 19, 7, 15, 17, 17, 16, 19, 18, 21]"
75,267478,21,test,"[6, 9, 4, 6, 13, 11, 4, 11, 44, 23, 9, 4, 12, 5, 5, 13, 12, 0, 0, 5, 10]"
76,267496,16,test,"[10, 10, 10, 11, 15, 5, 4, 7, 15, 2, 11, 11, 15, 10, 9, 8]"
77,370195,21,validation,"[57, 34, 29, 37, 56, 52, 13, 20, 35, 26, 48, 41, 44, 63, 20, 48, 56, 90, 47, 96, 67]"
78,371104,21,test,"[10, 16, 8, 7, 6, 21, 4, 4, 6, 6, 12, 11, 4, 6, 11, 5, 24, 9, 23, 7, 4]"
79,371239,21,test,"[16, 16, 9, 14, 16, 9, 4, 11, 10, 8, 6, 19, 9, 6, 13, 3, 21, 17, 13, 27, 72]"
80,379249,21,validation,"[48, 45, 73, 126, 84, 12, 46, 7, 26, 35, 30, 35, 35, 29, 43, 38, 53, 49, 54, 106, 157]"
81,397213,21,validation,"[23, 27, 24, 27, 20, 22, 6, 10, 6, 26, 1, 9, 49, 18, 9, 7, 12, 3, 19, 11, 26]"
82,399220,21,test,"[16, 25, 17, 16, 30, 37, 14, 6, 23, 17, 20, 26, 19, 19, 13, 28, 35, 31, 58, 91, 96]"
83,416212,21,test,"[7, 7, 9, 12, 12, 16, 2, 5, 4, 3, 10, 8, 6, 4, 10, 9, 13, 10, 3, 4, 9]"
84,687616,21,validation,"[22, 15, 9, 13, 18, 14, 13, 15, 15, 10, 0, 0, 0, 7, 10, 22, 19, 23, 23, 25, 15]"
85,731104,19,test,"[23, 10, 10, 0, 24, 7, 25, 14, 9, 12, 23, 10, 29, 7, 27, 9, 23, 19, 28]"
86,745945,21,test,"[12, 16, 15, 10, 7, 16, 5, 5, 15, 2, 2, 45, 39, 47, 25, 21, 9, 6, 9, 21, 18]"
87,753613,21,validation,"[43, 59, 121, 104, 36, 129, 112, 5, 32, 11, 12, 19, 40, 34, 10, 36, 32, 5, 25, 17, 36]"
88,755584,21,validation,"[53, 66, 95, 62, 57, 54, 10, 9, 31, 13, 13, 78, 27, 30, 73, 35, 51, 20, 20, 28, 26]"
89,815101,21,test,"[22, 21, 30, 31, 16, 21, 6, 15, 26, 21, 31, 31, 18, 22, 21, 40, 25, 44, 39, 32, 25]"
90,836125,21,validation,"[23, 31, 24, 74, 113, 33, 21, 11, 42, 19, 23, 29, 42, 48, 59, 32, 39, 34, 29, 32, 32]"
91,836152,21,test,"[20, 32, 20, 10, 11, 21, 34, 9, 22, 10, 12, 18, 16, 16, 18, 12, 44, 37, 17, 11, 20]"
92,836584,19,train-only,"[271, 38, 0, 118, 242, 83, 70, 143, 88, 124, 163, 123, 123, 296, 162, 112, 150, 101, 129]"
93,837943,21,validation,"[63, 55, 112, 88, 95, 78, 73, 40, 85, 50, 80, 102, 89, 79, 107, 102, 94, 96, 84, 89, 88]"
94,838456,21,test,"[19, 23, 17, 13, 14, 13, 14, 5, 11, 13, 8, 16, 11, 13, 18, 17, 21, 18, 18, 24, 25]"
95,839356,21,validation,"[68, 35, 148, 94, 73, 92, 40, 6, 21, 30, 53, 89, 18, 57, 38, 28, 13, 46, 33, 32, 25]"
96,839374,21,validation,"[107, 55, 48, 35, 47, 63, 41, 30, 13, 25, 13, 78, 38, 19, 14, 37, 28, 20, 50, 27, 57]"
97,858886,21,test,"[15, 10, 18, 6, 9, 9, 3, 5, 10, 16, 7, 14, 9, 4, 8, 8, 19, 3, 11, 11, 5]"
98,865933,21,test,"[10, 24, 11, 13, 23, 21, 9, 24, 40, 36, 31, 61, 29, 14, 5, 13, 25, 25, 28, 16, 11]"
99,872260,21,validation,"[51, 36, 10, 11, 4, 12, 8, 4, 17, 11, 22, 15, 11, 10, 7, 15, 4, 17, 14, 11, 21]"
100,877624,21,validation,"[30, 25, 25, 30, 30, 22, 19, 7, 47, 16, 20, 33, 31, 21, 21, 25, 32, 39, 12, 34, 69]"
101,893824,19,test,"[47, 55, 29, 63, 24, 27, 2, 24, 23, 101, 69, 66, 38, 48, 50, 39, 21, 24, 23]"
102,903976,21,validation,"[17, 22, 34, 19, 33, 31, 12, 41, 7, 0, 11, 28, 16, 20, 28, 25, 33, 19, 21, 8, 19]"
103,904984,21,validation,"[9, 11, 17, 0, 9, 9, 10, 2, 5, 8, 1, 0, 0, 5, 3, 12, 11, 6, 16, 3, 3]"
104,906586,21,validation,"[7, 10, 12, 14, 10, 6, 2, 2, 1, 6, 8, 10, 11, 10, 7, 12, 12, 6, 14, 10, 13]"
105,906595,21,validation,"[7, 9, 7, 13, 14, 7, 9, 2, 5, 11, 6, 0, 7, 10, 10, 9, 9, 7, 11, 17, 15]"
106,913561,21,test,"[2, 10, 8, 3, 7, 15, 1, 3, 11, 8, 6, 12, 10, 15, 10, 7, 10, 15, 11, 5, 7]"
107,999403,21,test,"[34, 13, 36, 38, 16, 16, 4, 2, 5, 5, 3, 11, 14, 15, 8, 10, 6, 6, 18, 14, 33]"
108,1003147,20,test,"[115, 212, 25, 122, 201, 36, 25, 54, 43, 151, 47, 57, 60, 79, 79, 17, 39, 49, 72, 64]"
109,1003156,20,validation,"[127, 112, 182, 166, 12, 60, 24, 65, 39, 44, 63, 56, 89, 34, 67, 55, 56, 89, 142, 148]"
110,1003183,21,validation,"[23, 11, 31, 50, 19, 37, 46, 6, 18, 20, 19, 11, 4, 15, 6, 30, 6, 15, 6, 2, 20]"
111,1003192,21,test,"[28, 42, 47, 48, 32, 77, 19, 7, 14, 22, 5, 8, 8, 25, 24, 24, 26, 11, 16, 34, 28]"
112,1006009,20,test,"[2, 1, 3, 8, 4, 3, 8, 22, 23, 9, 13, 5, 4, 6, 7, 4, 3, 7, 7, 4]"
113,1006090,21,validation,"[8, 19, 36, 29, 15, 21, 11, 2, 6, 14, 9, 14, 16, 16, 19, 12, 15, 19, 33, 19, 38]"
114,1006099,21,test,"[2, 14, 23, 11, 24, 13, 7, 4, 3, 3, 4, 5, 4, 21, 2, 6, 2, 8, 4, 5, 4]"
115,1006108,21,test,"[109, 77, 8, 12, 23, 12, 20, 2, 10, 7, 2, 6, 4, 11, 9, 17, 34, 5, 7, 15, 4]"
116,1010068,21,test,"[13, 2, 6, 7, 4, 16, 5, 7, 20, 12, 11, 19, 18, 16, 11, 14, 64, 60, 3, 12, 13]"
117,1013335,21,validation,"[14, 17, 18, 14, 7, 11, 5, 6, 10, 12, 8, 15, 6, 5, 9, 7, 6, 3, 6, 6, 12]"
118,1015621,21,test,"[4, 7, 9, 10, 5, 17, 5, 2, 5, 3, 5, 2, 1, 2, 3, 7, 1, 9, 3, 11, 2]"
119,1021264,21,validation,"[9, 8, 21, 11, 17, 7, 3, 4, 9, 13, 5, 6, 10, 5, 14, 8, 9, 24, 22, 1, 45]"
120,1024810,21,test,"[20, 36, 0, 121, 86, 21, 83, 18, 59, 49, 34, 38, 66, 55, 50, 53, 75, 85, 113, 113, 96]"
121,1026871,21,test,"[4, 8, 16, 14, 10, 11, 1, 4, 13, 17, 13, 20, 9, 14, 10, 13, 9, 10, 8, 9, 1]"
122,1030948,20,validation,"[5, 3, 6, 10, 5, 5, 9, 2, 7, 6, 12, 4, 9, 1, 5, 5, 7, 9, 5, 6]"
123,1032532,21,validation,"[122, 93, 159, 108, 163, 153, 44, 44, 53, 54, 70, 73, 138, 101, 73, 73, 74, 186, 89, 129, 103]"
124,1032541,21,validation,"[100, 75, 267, 144, 244, 165, 34, 129, 60, 44, 65, 56, 197, 257, 52, 47, 68, 166, 61, 97, 122]"
125,1032550,21,test,"[33, 12, 11, 8, 24, 13, 5, 74, 16, 9, 18, 8, 11, 24, 3, 6, 7, 11, 5, 12, 12]"
126,1032559,21,test,"[20, 27, 25, 16, 22, 16, 10, 9, 17, 18, 9, 3, 12, 13, 9, 10, 13, 16, 25, 39, 19]"
127,1032568,21,test,"[6, 17, 10, 8, 6, 3, 1, 123, 10, 10, 4, 11, 8, 7, 10, 6, 10, 6, 4, 10, 9]"
128,1032586,21,validation,"[19, 24, 31, 21, 28, 19, 15, 9, 21, 17, 16, 11, 28, 13, 12, 12, 33, 19, 20, 18, 16]"
129,1044502,21,test,"[19, 11, 5, 8, 15, 18, 7, 6, 30, 13, 23, 22, 12, 17, 11, 12, 22, 14, 11, 17, 20]"
130,1044610,21,validation,"[14, 17, 13, 5, 10, 4, 4, 2, 6, 13, 8, 13, 8, 3, 6, 14, 12, 14, 24, 12, 24]"
131,1044619,21,test,"[43, 29, 42, 36, 36, 45, 18, 14, 52, 52, 21, 25, 61, 13, 31, 39, 40, 35, 36, 53, 55]"
132,1044682,21,test,"[46, 52, 45, 54, 33, 34, 6, 18, 45, 42, 21, 42, 41, 23, 64, 46, 45, 71, 59, 45, 30]"
133,1044691,21,validation,"[25, 25, 17, 12, 23, 23, 27, 5, 13, 16, 11, 20, 13, 12, 22, 28, 27, 23, 15, 8, 22]"
134,1047130,21,test,"[36, 52, 68, 71, 58, 75, 36, 22, 41, 28, 49, 76, 61, 55, 50, 75, 54, 37, 72, 56, 66]"
135,1047967,21,validation,"[128, 171, 80, 102, 111, 104, 39, 184, 106, 118, 113, 82, 94, 130, 174, 87, 138, 86, 95, 114, 82]"
136,1048975,21,test,"[19, 14, 15, 40, 64, 35, 14, 2, 4, 5, 4, 12, 8, 5, 25, 6, 23, 14, 8, 17, 13]"
137,1049776,21,test,"[1, 18, 34, 32, 29, 27, 18, 9, 15, 10, 12, 16, 12, 18, 17, 28, 35, 35, 42, 51, 19]"
138,1050046,21,validation,"[53, 23, 42, 13, 22, 16, 8, 8, 9, 12, 16, 22, 17, 11, 37, 32, 19, 69, 30, 19, 39]"
139,1054978,21,test,"[49, 72, 51, 54, 60, 48, 53, 22, 60, 77, 63, 38, 62, 39, 41, 75, 42, 49, 42, 34, 25]"
140,1056463,21,test,"[39, 43, 57, 72, 116, 33, 13, 9, 21, 25, 37, 37, 63, 39, 29, 30, 66, 22, 38, 46, 118]"
141,1058713,21,validation,"[41, 41, 46, 37, 51, 69, 40, 36, 30, 27, 23, 40, 34, 30, 40, 27, 43, 41, 60, 57, 38]"
142,1060630,21,test,"[33, 18, 20, 24, 30, 22, 9, 33, 49, 38, 45, 39, 46, 40, 34, 43, 33, 25, 49, 21, 33]"
143,1060909,21,test,"[79, 128, 71, 67, 0, 179, 25, 13, 110, 17, 60, 56, 33, 102, 66, 62, 61, 66, 32, 90, 81]"
144,1061341,19,validation,"[69, 12, 17, 17, 8, 18, 62, 44, 54, 25, 72, 50, 29, 45, 29, 40, 43, 67, 37]"
145,1061638,17,validation,"[25, 0, 42, 24, 90, 71, 153, 65, 51, 25, 21, 71, 62, 34, 69, 70, 80]"
146,1063600,21,test,"[20, 8, 18, 13, 5, 10, 13, 11, 10, 14, 4, 14, 7, 11, 8, 17, 7, 9, 9, 14, 9]"
147,1064473,21,test,"[37, 44, 88, 64, 29, 22, 22, 28, 39, 37, 31, 58, 40, 40, 48, 29, 45, 27, 37, 27, 30]"
148,1064572,21,test,"[7, 6, 6, 4, 5, 8, 4, 5, 7, 6, 7, 14, 16, 14, 15, 6, 13, 6, 8, 17, 20]"
149,1066570,21,validation,"[55, 22, 26, 12, 0, 33, 24, 36, 120, 92, 76, 135, 99, 56, 116, 91, 36, 33, 57, 47, 85]"
150,1067074,21,test,"[20, 26, 10, 48, 38, 74, 14, 18, 38, 27, 39, 29, 32, 34, 81, 22, 29, 31, 36, 30, 28]"
151,1067092,21,test,"[99, 72, 87, 90, 148, 76, 67, 74, 135, 63, 95, 141, 204, 111, 90, 142, 88, 71, 118, 70, 96]"
152,1067119,21,test,"[41, 32, 30, 21, 31, 34, 17, 18, 27, 27, 23, 22, 42, 22, 14, 21, 17, 24, 12, 26, 24]"
153,1067128,20,test,"[6, 7, 12, 9, 12, 10, 4, 11, 8, 17, 13, 3, 5, 5, 3, 8, 7, 10, 10, 24]"
154,1068883,20,test,"[4, 1, 2, 10, 8, 11, 3, 3, 3, 1, 1, 5, 3, 4, 4, 9, 9, 4, 6, 7]"
155,1070818,21,validation,"[4, 1, 11, 6, 8, 5, 4, 5, 8, 4, 16, 12, 15, 9, 16, 19, 7, 4, 6, 10, 18]"
156,1070836,21,validation,"[10, 9, 10, 26, 22, 15, 13, 8, 30, 25, 12, 26, 27, 17, 15, 20, 36, 12, 7, 16, 9]"
157,1071106,21,validation,"[20, 19, 18, 26, 12, 19, 10, 9, 22, 22, 16, 44, 25, 35, 20, 38, 26, 14, 38, 25, 23]"
158,1071115,21,test,"[2, 5, 4, 10, 19, 9, 6, 7, 11, 20, 4, 16, 10, 13, 14, 10, 15, 6, 5, 1, 11]"
159,1071124,21,test,"[3, 16, 10, 11, 5, 2, 2, 11, 10, 7, 18, 13, 30, 14, 15, 15, 13, 14, 7, 10, 11]"
160,1074823,21,validation,"[36, 59, 0, 9, 79, 0, 4, 60, 227, 365, 398, 303, 121, 345, 365, 393, 42, 48, 0, 48, 0]"
161,1075651,20,test,"[11, 6, 1, 7, 17, 18, 5, 5, 2, 4, 4, 7, 13, 5, 11, 14, 15, 13, 23, 17]"
162,1076920,21,validation,"[7, 3, 4, 7, 3, 8, 4, 4, 19, 9, 13, 10, 9, 12, 13, 9, 9, 9, 14, 17, 7]"
163,1076929,21,test,"[3, 3, 7, 10, 6, 6, 7, 2, 4, 7, 6, 3, 5, 5, 5, 2, 1, 3, 8, 59, 63]"
164,1076938,21,validation,"[4, 2, 79, 56, 2, 0, 1, 6, 8, 4, 4, 9, 17, 6, 7, 7, 10, 5, 53, 1, 11]"
165,1077118,21,test,"[16, 18, 28, 34, 46, 13, 29, 7, 10, 7, 0, 0, 0, 0, 0, 0, 0, 10, 24, 17, 17]"
166,1081060,21,test,"[50, 16, 38, 46, 23, 25, 9, 52, 83, 62, 62, 32, 84, 96, 81, 93, 67, 36, 49, 40, 30]"
167,1081069,21,validation,"[17, 10, 21, 24, 17, 9, 5, 12, 14, 26, 12, 8, 17, 19, 18, 8, 15, 14, 13, 15, 13]"
168,1081078,21,test,"[16, 15, 11, 5, 2, 11, 7, 8, 11, 6, 12, 17, 19, 8, 22, 3, 21, 21, 8, 13, 11]"
169,1081087,20,validation,"[6, 0, 8, 28, 0, 0, 4, 11, 14, 28, 19, 35, 24, 31, 51, 42, 13, 37, 16, 21]"
170,1081321,21,validation,"[32, 22, 2, 0, 0, 6, 14, 7, 27, 26, 19, 7, 17, 18, 9, 16, 12, 20, 15, 26, 18]"
171,1081339,20,test,"[11, 3, 4, 0, 0, 3, 6, 20, 0, 3, 23, 9, 29, 14, 18, 14, 15, 32, 36, 19]"
172,1082743,20,validation,"[24, 9, 75, 60, 0, 83, 5, 6, 12, 4, 4, 2, 9, 12, 8, 16, 13, 9, 15, 24]"
173,1084498,21,test,"[23, 31, 25, 23, 37, 7, 8, 15, 25, 33, 0, 16, 18, 15, 31, 35, 42, 25, 24, 27, 28]"
174,1085749,21,validation,"[9, 17, 14, 11, 22, 12, 8, 2, 2, 8, 14, 9, 7, 2, 9, 10, 9, 5, 25, 16, 8]"
175,1090024,21,test,"[20, 29, 17, 33, 46, 64, 43, 12, 22, 13, 24, 17, 14, 10, 20, 21, 10, 14, 13, 9, 8]"
176,1090105,21,validation,"[10, 6, 4, 2, 6, 5, 3, 2, 5, 8, 8, 2, 8, 5, 2, 8, 7, 5, 7, 3, 8]"
177,1090114,21,validation,"[4, 10, 2, 6, 8, 10, 1, 2, 5, 6, 5, 2, 9, 3, 1, 4, 10, 4, 2, 2, 9]"
178,1090240,21,validation,"[140, 80, 8, 7, 8, 12, 3, 8, 23, 29, 12, 24, 19, 21, 29, 17, 28, 131, 44, 27, 15]"
179,1090249,15,train-only,"[44, 13, 9, 9, 10, 11, 13, 27, 50, 25, 18, 13, 6, 31, 23]"
180,1090258,21,validation,"[7, 72, 38, 18, 19, 35, 3, 3, 6, 6, 5, 79, 44, 2, 4, 8, 92, 21, 1, 6, 7]"
181,1090276,20,validation,"[4, 6, 2, 11, 7, 13, 4, 24, 15, 5, 18, 7, 16, 16, 11, 9, 5, 4, 11, 12]"
182,1090294,20,validation,"[2, 10, 17, 9, 14, 11, 9, 11, 8, 5, 0, 0, 0, 14, 6, 11, 10, 5, 11, 6]"
183,1090303,21,validation,"[4, 14, 16, 9, 7, 11, 10, 3, 6, 10, 7, 6, 5, 0, 0, 3, 8, 6, 7, 13, 8]"
184,1092184,21,test,"[13, 20, 19, 21, 28, 22, 6, 7, 15, 16, 12, 25, 16, 8, 10, 14, 38, 23, 10, 28, 30]"
