CategoryCode,ItemCode,DateID,DailySales,PromoStarted,PromoEnded,DiscountValue,DiscountType,SellingPrice
category_1,379249,2021-11-23,2,2021-11-19,2021-11-25,10,Percentage,70
category_1,379249,2021-11-22,8,2021-11-19,2021-11-25,10,Percentage,70
category_1,379249,2021-11-24,4,2021-11-19,2021-11-25,10,Percentage,70
category_1,379249,2021-11-21,4,2021-11-19,2021-11-25,10,Percentage,70
category_1,379249,2021-11-20,4,2021-11-19,2021-11-25,10,Percentage,70
category_1,379249,2021-12-25,6,2021-12-24,2021-12-30,10,Percentage,70
category_1,379249,2021-12-26,4,2021-12-24,2021-12-30,10,Percentage,70
category_1,379249,2021-12-27,10,2021-12-24,2021-12-30,10,Percentage,70
category_1,379249,2021-12-28,10,2021-12-24,2021-12-30,10,Percentage,70
category_1,379249,2021-12-29,26,2021-12-24,2021-12-30,10,Percentage,70
category_1,379249,2021-12-01,7,2021-11-26,2021-12-02,10,Percentage,70
category_1,379249,2021-11-28,11,2021-11-26,2021-12-02,10,Percentage,70
category_1,379249,2021-11-29,7,2021-11-26,2021-12-02,10,Percentage,70
category_1,379249,2021-11-27,5,2021-11-26,2021-12-02,10,Percentage,70
category_1,379249,2021-11-30,3,2021-11-26,2021-12-02,10,Percentage,70
category_1,379249,2022-01-17,13,2022-01-14,2022-01-20,10,Percentage,70
category_1,379249,2022-01-16,8,2022-01-14,2022-01-20,10,Percentage,70
category_1,379249,2022-01-15,3,2022-01-14,2022-01-20,10,Percentage,70
category_1,379249,2022-01-19,23,2022-01-14,2022-01-20,10,Percentage,70
category_1,379249,2022-01-18,22,2022-01-14,2022-01-20,10,Percentage,70
category_1,379249,2021-11-09,4,2021-11-05,2021-11-11,10,Percentage,70
category_1,379249,2021-11-10,4,2021-11-05,2021-11-11,10,Percentage,70
category_1,379249,2021-11-08,3,2021-11-05,2021-11-11,10,Percentage,70
category_1,379249,2021-11-07,6,2021-11-05,2021-11-11,10,Percentage,70
category_1,379249,2021-11-06,4,2021-11-05,2021-11-11,10,Percentage,70
category_3,1066570,2021-11-23,24,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-22,27,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-24,2,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-21,7,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-20,10,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-01,36,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-11-02,6,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-10-31,10,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-10-30,12,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-11-03,17,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2022-01-17,3,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-16,2,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-15,1,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-19,1,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-18,4,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2021-10-16,6,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-20,5,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-19,6,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-18,18,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-17,4,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-11-10,4,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-08,11,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-07,4,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-06,14,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2022-01-22,4,2022-01-21,2022-01-27,15,Percentage,45
category_3,1066570,2022-01-26,12,2022-01-21,2022-01-27,15,Percentage,45
category_3,1066570,2021-11-13,5,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-15,16,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-14,19,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-16,23,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-17,24,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-10-23,19,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-24,4,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-26,9,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-27,25,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-25,31,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-03,1,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-05,2,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-02,17,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-06,21,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-04,17,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-11,26,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-10,8,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-09,7,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-13,39,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-12,13,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2022-01-06,19,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-05,2,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-08,1,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-09,16,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-10,4,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-12,7,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-07,9,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-11,2,2022-01-04,2022-01-13,15,Percentage,45
category_2,124954,2021-11-01,1,2021-10-29,2021-11-04,15,Percentage,210
category_2,124954,2021-11-02,5,2021-10-29,2021-11-04,15,Percentage,210
category_2,124954,2021-10-31,9,2021-10-29,2021-11-04,15,Percentage,210
category_2,124954,2021-10-30,6,2021-10-29,2021-11-04,15,Percentage,210
category_2,124954,2021-11-03,7,2021-10-29,2021-11-04,15,Percentage,210
category_2,124954,2021-11-09,6,2021-11-05,2021-11-11,15,Percentage,210
category_2,124954,2021-11-10,2,2021-11-05,2021-11-11,15,Percentage,210
category_2,124954,2021-11-08,10,2021-11-05,2021-11-11,15,Percentage,210
category_2,124954,2021-11-07,8,2021-11-05,2021-11-11,15,Percentage,210
category_2,124954,2021-11-06,5,2021-11-05,2021-11-11,15,Percentage,210
category_2,124954,2022-01-23,2,2022-01-21,2022-01-27,5,Percentage,210
category_2,124954,2022-01-22,2,2022-01-21,2022-01-27,5,Percentage,210
category_2,124954,2022-01-26,5,2022-01-21,2022-01-27,5,Percentage,210
category_2,124954,2022-01-24,1,2022-01-21,2022-01-27,5,Percentage,210
category_2,124954,2022-01-25,4,2022-01-21,2022-01-27,5,Percentage,210
category_2,124954,2022-01-06,5,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-05,2,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-08,3,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-09,2,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-10,3,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-12,1,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-07,2,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-11,3,2022-01-04,2022-01-13,5,Percentage,210
category_2,124954,2022-01-17,1,2022-01-14,2022-01-20,5,Percentage,210
category_2,124954,2022-01-16,1,2022-01-14,2022-01-20,5,Percentage,210
category_2,124954,2022-01-19,2,2022-01-14,2022-01-20,5,Percentage,210
category_2,124954,2022-01-29,4,2022-01-28,2022-02-03,10,Percentage,210
category_2,124954,2022-01-30,7,2022-01-28,2022-02-03,10,Percentage,210
category_2,124954,2022-02-02,6,2022-01-28,2022-02-03,10,Percentage,210
category_2,124954,2022-02-01,4,2022-01-28,2022-02-03,10,Percentage,210
category_2,124954,2022-01-31,3,2022-01-28,2022-02-03,10,Percentage,210
category_2,124954,2022-02-13,2,2022-02-11,2022-02-17,10,Percentage,210
category_2,124954,2022-02-12,4,2022-02-11,2022-02-17,10,Percentage,210
category_2,124954,2022-02-16,7,2022-02-11,2022-02-17,10,Percentage,210
category_2,124954,2022-02-15,5,2022-02-11,2022-02-17,10,Percentage,210
category_2,124954,2021-11-23,1,2021-11-19,2021-11-25,15,Percentage,210
category_2,124954,2021-11-22,2,2021-11-19,2021-11-25,15,Percentage,210
category_2,124954,2021-11-24,3,2021-11-19,2021-11-25,15,Percentage,210
category_2,124954,2021-11-21,6,2021-11-19,2021-11-25,15,Percentage,210
category_2,124954,2021-11-20,3,2021-11-19,2021-11-25,15,Percentage,210
category_2,124954,2022-02-09,4,2022-02-04,2022-02-10,10,Percentage,210
category_2,124954,2022-02-08,5,2022-02-04,2022-02-10,10,Percentage,210
category_2,124954,2022-02-05,2,2022-02-04,2022-02-10,10,Percentage,210
category_2,124954,2022-02-06,1,2022-02-04,2022-02-10,10,Percentage,210
category_2,124954,2022-02-07,3,2022-02-04,2022-02-10,10,Percentage,210
category_2,124954,2021-11-13,4,2021-11-12,2021-11-18,15,Percentage,210
category_2,124954,2021-11-15,9,2021-11-12,2021-11-18,15,Percentage,210
category_2,124954,2021-11-14,4,2021-11-12,2021-11-18,15,Percentage,210
category_2,124954,2021-11-16,5,2021-11-12,2021-11-18,15,Percentage,210
category_2,124954,2021-11-17,11,2021-11-12,2021-11-18,15,Percentage,210
category_1,35530,2021-10-24,2,2021-10-22,2021-10-28,15,Percentage,60
category_1,35530,2021-10-26,1,2021-10-22,2021-10-28,15,Percentage,60
category_1,35530,2021-10-25,2,2021-10-22,2021-10-28,15,Percentage,60
category_1,35530,2021-10-11,10,2021-10-08,2021-10-14,15,Percentage,60
category_1,35530,2021-10-10,6,2021-10-08,2021-10-14,15,Percentage,60
category_1,35530,2021-10-09,2,2021-10-08,2021-10-14,15,Percentage,60
category_1,35530,2021-10-13,3,2021-10-08,2021-10-14,15,Percentage,60
category_1,35530,2021-10-12,2,2021-10-08,2021-10-14,15,Percentage,60
category_1,35530,2021-10-16,2,2021-10-15,2021-10-21,15,Percentage,60
category_1,35530,2021-10-19,1,2021-10-15,2021-10-21,15,Percentage,60
category_1,35530,2021-10-17,3,2021-10-15,2021-10-21,15,Percentage,60
category_1,35530,2021-10-02,2,2021-10-01,2021-10-07,15,Percentage,60
category_1,35530,2021-10-06,1,2021-10-01,2021-10-07,15,Percentage,60
category_3,1013335,2022-01-23,1,2022-01-21,2022-01-27,10,Percentage,210
category_3,1013335,2022-01-22,4,2022-01-21,2022-01-27,10,Percentage,210
category_3,1013335,2022-01-26,2,2022-01-21,2022-01-27,10,Percentage,210
category_3,1013335,2022-01-24,3,2022-01-21,2022-01-27,10,Percentage,210
category_3,1013335,2022-01-25,4,2022-01-21,2022-01-27,10,Percentage,210
category_3,1013335,2022-01-06,3,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-05,3,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-09,1,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-10,3,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-12,4,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-07,3,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-11,3,2022-01-04,2022-01-13,10,Percentage,210
category_3,1013335,2022-01-17,2,2022-01-14,2022-01-20,10,Percentage,210
category_3,1013335,2022-01-16,2,2022-01-14,2022-01-20,10,Percentage,210
category_3,1013335,2022-01-15,1,2022-01-14,2022-01-20,10,Percentage,210
category_3,1013335,2022-01-19,5,2022-01-14,2022-01-20,10,Percentage,210
category_3,1013335,2022-01-18,3,2022-01-14,2022-01-20,10,Percentage,210
category_1,24136,2021-10-11,6,2021-10-08,2021-10-14,10,Percentage,70
category_1,24136,2021-10-10,2,2021-10-08,2021-10-14,10,Percentage,70
category_1,24136,2021-10-09,1,2021-10-08,2021-10-14,10,Percentage,70
category_1,24136,2021-10-13,7,2021-10-08,2021-10-14,10,Percentage,70
category_1,24136,2021-10-12,5,2021-10-08,2021-10-14,10,Percentage,70
category_1,24136,2021-10-16,8,2021-10-15,2021-10-21,10,Percentage,70
category_1,24136,2021-10-20,18,2021-10-15,2021-10-21,10,Percentage,70
category_1,24136,2021-10-19,51,2021-10-15,2021-10-21,10,Percentage,70
category_1,24136,2021-10-18,45,2021-10-15,2021-10-21,10,Percentage,70
category_1,24136,2021-10-17,7,2021-10-15,2021-10-21,10,Percentage,70
category_1,24136,2021-10-03,5,2021-10-01,2021-10-07,10,Percentage,70
category_1,24136,2021-10-05,6,2021-10-01,2021-10-07,10,Percentage,70
category_1,24136,2021-10-02,8,2021-10-01,2021-10-07,10,Percentage,70
category_1,24136,2021-10-06,3,2021-10-01,2021-10-07,10,Percentage,70
category_1,24136,2021-10-04,7,2021-10-01,2021-10-07,10,Percentage,70
category_1,24136,2021-10-23,2,2021-10-22,2021-10-28,10,Percentage,70
category_1,24136,2021-10-24,3,2021-10-22,2021-10-28,10,Percentage,70
category_1,24136,2021-10-26,11,2021-10-22,2021-10-28,10,Percentage,70
category_1,24136,2021-10-27,2,2021-10-22,2021-10-28,10,Percentage,70
category_1,24136,2021-10-25,3,2021-10-22,2021-10-28,10,Percentage,70
category_1,1085749,2022-02-12,1,2022-02-11,2022-02-17,10,Percentage,70
category_1,1085749,2022-02-14,3,2022-02-11,2022-02-17,10,Percentage,70
category_1,1085749,2022-02-15,3,2022-02-11,2022-02-17,10,Percentage,70
category_1,1085749,2021-12-07,1,2021-12-03,2021-12-09,10,Percentage,70
category_1,1085749,2021-12-08,2,2021-12-03,2021-12-09,10,Percentage,70
category_1,1085749,2021-12-06,1,2021-12-03,2021-12-09,10,Percentage,70
category_1,1085749,2021-12-01,1,2021-11-26,2021-12-02,10,Percentage,70
category_1,1085749,2021-11-29,2,2021-11-26,2021-12-02,10,Percentage,70
category_1,1085749,2021-11-30,4,2021-11-26,2021-12-02,10,Percentage,70
category_1,1085749,2021-10-30,4,2021-10-29,2021-11-04,10,Percentage,70
category_1,1085749,2021-11-03,1,2021-10-29,2021-11-04,10,Percentage,70
category_1,1085749,2022-02-09,6,2022-02-04,2022-02-10,10,Percentage,70
category_1,1085749,2022-02-08,1,2022-02-04,2022-02-10,10,Percentage,70
category_1,1085749,2022-02-05,1,2022-02-04,2022-02-10,10,Percentage,70
category_1,1085749,2022-02-06,6,2022-02-04,2022-02-10,10,Percentage,70
category_1,1085749,2022-02-07,1,2022-02-04,2022-02-10,10,Percentage,70
category_1,1085749,2021-12-19,1,2021-12-17,2021-12-23,10,Percentage,70
category_1,1085749,2021-12-22,4,2021-12-17,2021-12-23,10,Percentage,70
category_1,1085749,2021-12-18,6,2021-12-17,2021-12-23,10,Percentage,70
category_1,1085749,2021-12-21,2,2021-12-17,2021-12-23,10,Percentage,70
category_1,1085749,2021-12-20,1,2021-12-17,2021-12-23,10,Percentage,70
category_1,1085749,2021-11-24,4,2021-11-19,2021-11-25,10,Percentage,70
category_1,1085749,2021-11-21,6,2021-11-19,2021-11-25,10,Percentage,70
category_1,1085749,2021-11-20,1,2021-11-19,2021-11-25,10,Percentage,70
category_1,1085749,2022-01-29,1,2022-01-28,2022-02-03,10,Percentage,70
category_1,1085749,2022-01-30,4,2022-01-28,2022-02-03,10,Percentage,70
category_1,1085749,2022-02-01,1,2022-01-28,2022-02-03,10,Percentage,70
category_1,1085749,2022-02-02,6,2022-01-28,2022-02-03,10,Percentage,70
category_1,1085749,2022-01-31,1,2022-01-28,2022-02-03,10,Percentage,70
category_1,1085749,2021-12-12,1,2021-12-10,2021-12-16,10,Percentage,70
category_1,1085749,2021-12-13,2,2021-12-10,2021-12-16,10,Percentage,70
category_1,1085749,2021-12-14,7,2021-12-10,2021-12-16,10,Percentage,70
category_1,1085749,2021-12-15,6,2021-12-10,2021-12-16,10,Percentage,70
category_1,1085749,2021-11-14,2,2021-11-12,2021-11-18,10,Percentage,70
category_1,1085749,2021-11-17,2,2021-11-12,2021-11-18,10,Percentage,70
category_1,1085749,2021-12-25,1,2021-12-24,2021-12-30,10,Percentage,70
category_1,1085749,2021-12-26,4,2021-12-24,2021-12-30,10,Percentage,70
category_1,1085749,2021-12-27,1,2021-12-24,2021-12-30,10,Percentage,70
category_1,1085749,2021-12-28,2,2021-12-24,2021-12-30,10,Percentage,70
category_1,1085749,2021-12-29,1,2021-12-24,2021-12-30,10,Percentage,70
category_1,1085749,2021-11-06,4,2021-11-05,2021-11-11,10,Percentage,70
category_3,1066570,2021-11-23,24,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-22,27,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-24,2,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-21,7,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-20,10,2021-11-19,2021-11-25,15,Percentage,45
category_3,1066570,2021-11-01,36,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-11-02,6,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-10-31,10,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-10-30,12,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2021-11-03,17,2021-10-29,2021-11-04,15,Percentage,45
category_3,1066570,2022-01-17,3,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-16,2,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-15,1,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-19,1,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2022-01-18,4,2022-01-14,2022-01-20,15,Percentage,45
category_3,1066570,2021-10-16,6,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-20,5,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-19,6,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-18,18,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-10-17,4,2021-10-15,2021-10-21,15,Percentage,45
category_3,1066570,2021-11-10,4,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-08,11,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-07,4,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2021-11-06,14,2021-11-05,2021-11-11,15,Percentage,45
category_3,1066570,2022-01-22,4,2022-01-21,2022-01-27,15,Percentage,45
category_3,1066570,2022-01-26,12,2022-01-21,2022-01-27,15,Percentage,45
category_3,1066570,2021-11-13,5,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-15,16,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-14,19,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-16,23,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-11-17,24,2021-11-12,2021-11-18,15,Percentage,45
category_3,1066570,2021-10-23,19,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-24,4,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-26,9,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-27,25,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-25,31,2021-10-22,2021-10-28,15,Percentage,45
category_3,1066570,2021-10-03,1,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-05,2,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-02,17,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-06,21,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-04,17,2021-10-01,2021-10-07,15,Percentage,45
category_3,1066570,2021-10-11,26,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-10,8,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-09,7,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-13,39,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2021-10-12,13,2021-10-08,2021-10-14,15,Percentage,45
category_3,1066570,2022-01-06,19,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-05,2,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-08,1,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-09,16,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-10,4,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-12,7,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-07,9,2022-01-04,2022-01-13,15,Percentage,45
category_3,1066570,2022-01-11,2,2022-01-04,2022-01-13,15,Percentage,45
category_3,1081069,2022-01-23,4,2022-01-21,2022-01-27,10,Percentage,45
category_3,1081069,2022-01-26,11,2022-01-21,2022-01-27,10,Percentage,45
category_3,1081069,2022-01-24,6,2022-01-21,2022-01-27,10,Percentage,45
category_3,1081069,2022-01-25,3,2022-01-21,2022-01-27,10,Percentage,45
category_3,1081069,2022-01-06,5,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-05,1,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-12,2,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-10,1,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-07,1,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-11,4,2022-01-04,2022-01-13,10,Percentage,45
category_3,1081069,2022-01-15,1,2022-01-14,2022-01-20,10,Percentage,45
category_3,1081069,2022-01-19,10,2022-01-14,2022-01-20,10,Percentage,45
category_3,1081069,2022-01-18,3,2022-01-14,2022-01-20,10,Percentage,45
category_1,17287,2021-12-05,5,2021-12-03,2021-12-09,10,Percentage,70
category_1,17287,2021-12-08,15,2021-12-03,2021-12-09,10,Percentage,70
category_1,17287,2021-12-06,2,2021-12-03,2021-12-09,10,Percentage,70
category_1,17287,2021-11-20,5,2021-11-19,2021-11-25,10,Percentage,70
category_1,17287,2021-11-28,3,2021-11-26,2021-12-02,10,Percentage,70
category_1,17287,2021-11-29,9,2021-11-26,2021-12-02,10,Percentage,70
category_1,17287,2021-11-30,1,2021-11-26,2021-12-02,10,Percentage,70
category_1,17287,2022-01-30,12,2022-01-28,2022-02-03,10,Percentage,70
category_1,17287,2022-01-29,9,2022-01-28,2022-02-03,10,Percentage,70
category_1,17287,2022-02-02,1,2022-01-28,2022-02-03,10,Percentage,70
category_1,17287,2022-02-01,5,2022-01-28,2022-02-03,10,Percentage,70
category_1,17287,2022-01-31,7,2022-01-28,2022-02-03,10,Percentage,70
category_1,17287,2021-12-19,2,2021-12-17,2021-12-23,10,Percentage,70
category_1,17287,2021-12-18,2,2021-12-17,2021-12-23,10,Percentage,70
category_1,17287,2021-12-21,3,2021-12-17,2021-12-23,10,Percentage,70
category_1,17287,2021-12-20,9,2021-12-17,2021-12-23,10,Percentage,70
category_1,17287,2021-11-01,5,2021-10-29,2021-11-04,10,Percentage,70
category_1,17287,2021-11-02,2,2021-10-29,2021-11-04,10,Percentage,70
category_1,17287,2021-10-31,9,2021-10-29,2021-11-04,10,Percentage,70
category_1,17287,2021-10-30,2,2021-10-29,2021-11-04,10,Percentage,70
category_1,17287,2022-02-08,7,2022-02-04,2022-02-10,10,Percentage,70
category_1,17287,2022-02-05,1,2022-02-04,2022-02-10,10,Percentage,70
category_1,17287,2021-11-15,1,2021-11-12,2021-11-18,10,Percentage,70
category_1,17287,2021-11-14,6,2021-11-12,2021-11-18,10,Percentage,70
category_1,17287,2021-11-17,2,2021-11-12,2021-11-18,10,Percentage,70
category_1,17287,2022-02-13,9,2022-02-11,2022-02-17,10,Percentage,70
category_1,17287,2022-02-16,5,2022-02-11,2022-02-17,10,Percentage,70
category_1,17287,2022-02-12,3,2022-02-11,2022-02-17,10,Percentage,70
