ItemCode,Week,WeeklySales
903976,w3,10
906586,w3,5
906595,w3,5
913561,w3,4
999403,w3,9
1003147,w3,29
1003156,w3,42
1003183,w3,18
1003192,w3,41
1006009,w3,1
1006090,w3,9
1006099,w3,3
1006108,w3,3
1010068,w3,4
1013335,w3,7
1015621,w3,5
1021264,w3,9
1024810,w3,42
1026871,w3,6
1030948,w3,4
1032532,w3,61
1032541,w3,63
1032550,w3,7
1032559,w3,10
1032568,w3,2
1032586,w3,11
1044502,w3,16
1044610,w3,2
1044619,w3,28
1044682,w3,26
1044691,w3,11
1047130,w3,28
1047967,w3,88
1048975,w3,26
1049776,w3,18
1050046,w3,11
1054978,w3,41
1056463,w3,61
1058713,w3,26
1060630,w3,21
1060909,w3,102
1061341,w3,11
1061638,w3,18
1063600,w3,5
1064473,w3,25
1064572,w3,7
1066570,w3,26
1067074,w3,46
1067092,w3,61
1067119,w3,14
1067128,w3,10
1068883,w3,6
1070818,w3,5
1070836,w3,10
1071106,w3,13
1071115,w3,7
1071124,w3,2
1074823,w3,16
1075651,w3,10
1076920,w3,4
1076929,w3,0
1076938,w3,4
1077118,w3,12
1081060,w3,18
1081069,w3,9
1081078,w3,6
1081087,w3,13
1081321,w3,3
1081339,w3,2
1082743,w3,22
1084498,w3,6
1085749,w3,6
1090024,w3,48
1090105,w3,5
1090114,w3,7
1090240,w3,3
1090249,w3,21
1090258,w3,4
1090276,w3,9
1090294,w3,4
1090303,w3,5
1092184,w3,16
1097143,w3,41
1098493,w3,3
1098502,w3,3
1101553,w3,1
1101562,w3,3
1101571,w3,6
1101661,w3,19
1101769,w3,13
1103056,w3,8
1105009,w3,4
1105018,w3,3
1105027,w3,13
3418,w4,66
3427,w4,31
7666,w4,21
9925,w4,12
16936,w4,40
17287,w4,20
17296,w4,302
20824,w4,101
23200,w4,10
23569,w4,9
24136,w4,13
30877,w4,66
32245,w4,38
35449,w4,14
35530,w4,12
35584,w4,4
36898,w4,69
37510,w4,7
37861,w4,231
38518,w4,21
39436,w4,60
40759,w4,22
41830,w4,11
42424,w4,28
42496,w4,22
43630,w4,43
43657,w4,15
43738,w4,21
48940,w4,8
50785,w4,49
57058,w4,4
59047,w4,1
59749,w4,23
64978,w4,2
65788,w4,7
75886,w4,7
76399,w4,5
86974,w4,11
86992,w4,85
87046,w4,4
87559,w4,20
88450,w4,62
99079,w4,16
110320,w4,27
111382,w4,8
111436,w4,6
117610,w4,3
118033,w4,8
119554,w4,116
123307,w4,448
124774,w4,5
124954,w4,19
130993,w4,18
131983,w4,30
132028,w4,121
132334,w4,9
138742,w4,15
142756,w4,59
145330,w4,5
145978,w4,24
169504,w4,218
172033,w4,2
172582,w4,11
173617,w4,8
174436,w4,37
210868,w4,6
211309,w4,14
213802,w4,7
216151,w4,11
225259,w4,9
245581,w4,92
248272,w4,11
262384,w4,13
267478,w4,9
267496,w4,6
370195,w4,34
371104,w4,9
371239,w4,21
379249,w4,33
397213,w4,15
399220,w4,21
416212,w4,11
687616,w4,6
731104,w4,10
745945,w4,7
753613,w4,80
755584,w4,24
815101,w4,16
836125,w4,58
836152,w4,11
836584,w4,49
837943,w4,68
838456,w4,11
839356,w4,64
839374,w4,37
858886,w4,5
865933,w4,14
872260,w4,5
877624,w4,22
893824,w4,18
903976,w4,19
906586,w4,5
906595,w4,8
913561,w4,9
999403,w4,7
1003147,w4,121
1003156,w4,43
1003183,w4,27
1003192,w4,50
1006009,w4,1
1006090,w4,15
1006099,w4,6
1006108,w4,3
1010068,w4,7
1013335,w4,7
1015621,w4,10
1021264,w4,13
1024810,w4,31
1026871,w4,8
1030948,w4,4
1032532,w4,138
1032541,w4,132
1032550,w4,12
1032559,w4,11
1032568,w4,2
1032586,w4,17
1044502,w4,12
1044610,w4,0
1044619,w4,40
1044682,w4,24
1044691,w4,17
1047130,w4,62
1047967,w4,66
1048975,w4,31
1049776,w4,18
1050046,w4,11
1054978,w4,34
1056463,w4,49
1058713,w4,50
1060630,w4,22
1060909,w4,76
1061341,w4,11
1061638,w4,6
1063600,w4,7
1064473,w4,21
1064572,w4,8
1066570,w4,22
1067074,w4,37
1067092,w4,80
1067119,w4,25
1067128,w4,9
1068883,w4,9
1070818,w4,5
1070836,w4,16
1071106,w4,14
1071115,w4,6
1071124,w4,1
1074823,w4,16
1075651,w4,7
1076920,w4,4
1076929,w4,1
1076938,w4,3
1077118,w4,13
1081060,w4,15
1081069,w4,9
1081078,w4,6
1081087,w4,13
1081321,w4,3
1081339,w4,2
1082743,w4,67
1084498,w4,11
1085749,w4,10
1090024,w4,14
1090105,w4,4
1090114,w4,7
1090240,w4,6
1090249,w4,5
1090258,w4,10
1090276,w4,5
1090294,w4,5
1090303,w4,6
1092184,w4,19
1097143,w4,52
1098493,w4,2
1098502,w4,4
1101553,w4,1
1101562,w4,4
1101571,w4,6
1101661,w4,22
1101769,w4,21
1103056,w4,8
1105009,w4,6
1105018,w4,5
1105027,w4,8
