ItemCode,#sales,stage,WeeklySales
39436,21,test,"[139, 161, 93, 26, 22, 15, 21, 10, 10, 11, 10, 22, 16, 13, 16, 14, 22, 21, 18, 2, 23]"
40759,21,validation,"[38, 59, 46, 43, 62, 62, 35, 34, 56, 63, 87, 122, 155, 60, 37, 59, 38, 58, 53, 9, 26]"
41830,21,test,"[3, 17, 15, 12, 20, 8, 7, 24, 28, 14, 13, 20, 17, 16, 19, 14, 16, 15, 22, 9, 9]"
42424,21,test,"[13, 24, 33, 12, 22, 23, 27, 23, 28, 33, 58, 41, 62, 21, 39, 61, 37, 41, 61, 6, 59]"
42496,21,test,"[19, 11, 22, 22, 45, 22, 32, 24, 20, 38, 102, 29, 43, 40, 36, 35, 37, 39, 42, 7, 30]"
43630,21,test,"[9, 31, 20, 21, 33, 24, 31, 25, 27, 29, 39, 22, 22, 16, 32, 22, 36, 52, 25, 5, 49]"
43657,21,validation,"[3, 12, 4, 3, 4, 14, 9, 8, 5, 9, 9, 7, 10, 11, 8, 9, 6, 11, 16, 2, 23]"
43738,21,test,"[10, 11, 13, 8, 13, 5, 11, 12, 27, 17, 19, 18, 24, 11, 25, 30, 28, 17, 17, 1, 31]"
48940,21,validation,"[2, 10, 16, 8, 12, 12, 12, 18, 18, 11, 6, 12, 23, 15, 21, 25, 9, 28, 17, 3, 16]"
50785,21,validation,"[9, 18, 5, 10, 22, 28, 12, 21, 24, 10, 15, 7, 7, 2, 5, 19, 29, 33, 10, 4, 65]"
57058,21,test,"[5, 11, 6, 4, 2, 5, 10, 4, 7, 3, 13, 4, 3, 8, 3, 7, 16, 12, 12, 5, 5]"
59047,21,validation,"[3, 5, 4, 1, 17, 15, 3, 9, 0, 8, 12, 11, 8, 2, 8, 37, 8, 16, 7, 0, 4]"
59749,21,validation,"[26, 44, 37, 38, 44, 28, 44, 28, 38, 61, 70, 82, 99, 59, 55, 47, 45, 44, 35, 24, 32]"
64978,21,validation,"[2, 8, 3, 2, 6, 4, 7, 3, 12, 9, 6, 3, 3, 1, 3, 4, 1, 3, 5, 1, 5]"
65788,21,test,"[26, 46, 54, 52, 32, 4, 12, 8, 10, 15, 13, 11, 7, 11, 12, 8, 9, 17, 9, 3, 9]"
75886,21,validation,"[7, 12, 8, 10, 10, 3, 9, 3, 13, 15, 8, 17, 7, 9, 9, 9, 0, 6, 12, 4, 14]"
76399,20,validation,"[21, 11, 12, 31, 23, 18, 35, 29, 19, 25, 16, 31, 39, 21, 45, 39, 60, 55, 18, 4]"
86974,20,validation,"[12, 20, 17, 2, 1, 35, 1, 14, 11, 8, 30, 20, 19, 29, 36, 23, 25, 0, 23, 14]"
86992,21,test,"[5, 43, 31, 37, 45, 41, 33, 61, 50, 43, 54, 65, 55, 57, 41, 52, 72, 79, 75, 14, 104]"
87046,18,test,"[6, 6, 6, 1, 0, 11, 15, 7, 5, 7, 17, 12, 17, 15, 7, 13, 10, 3]"
87559,21,test,"[8, 30, 11, 18, 21, 13, 14, 24, 14, 15, 15, 48, 34, 47, 28, 31, 18, 31, 29, 7, 30]"
88450,21,test,"[65, 91, 139, 64, 137, 142, 123, 93, 115, 48, 99, 61, 111, 93, 30, 85, 83, 85, 74, 13, 96]"
99079,21,validation,"[9, 20, 13, 12, 23, 25, 15, 19, 32, 21, 17, 14, 35, 8, 23, 12, 36, 16, 16, 13, 17]"
110320,21,validation,"[13, 37, 36, 22, 48, 49, 38, 40, 50, 54, 53, 58, 47, 39, 47, 54, 52, 46, 28, 9, 31]"
111382,21,test,"[8, 24, 21, 11, 18, 11, 15, 10, 16, 16, 15, 7, 7, 15, 9, 11, 9, 11, 13, 3, 10]"
111436,21,test,"[3, 6, 11, 6, 6, 2, 5, 4, 8, 20, 14, 14, 8, 14, 6, 13, 17, 7, 9, 5, 9]"
117610,21,test,"[4, 11, 11, 14, 27, 65, 29, 21, 26, 7, 4, 28, 8, 3, 6, 11, 6, 7, 10, 8, 7]"
118033,21,validation,"[7, 7, 12, 12, 13, 11, 16, 16, 12, 11, 8, 11, 13, 31, 27, 14, 14, 21, 18, 6, 8]"
119554,21,test,"[26, 108, 120, 110, 109, 137, 127, 139, 217, 166, 207, 140, 184, 136, 265, 196, 196, 150, 192, 28, 140]"
123307,21,test,"[242, 569, 493, 378, 552, 330, 397, 332, 409, 400, 396, 516, 683, 608, 632, 539, 527, 356, 376, 123, 555]"
124774,21,validation,"[3, 26, 25, 23, 19, 22, 15, 25, 20, 24, 27, 49, 17, 18, 21, 49, 20, 2, 0, 7, 7]"
124954,21,validation,"[7, 9, 13, 18, 31, 39, 35, 49, 23, 15, 14, 19, 12, 14, 20, 13, 8, 30, 27, 3, 32]"
130993,21,test,"[7, 19, 7, 13, 7, 43, 37, 41, 7, 7, 12, 5, 15, 25, 8, 29, 25, 12, 6, 4, 45]"
131983,21,validation,"[18, 44, 40, 33, 20, 30, 31, 55, 32, 30, 39, 33, 45, 33, 37, 24, 29, 39, 31, 8, 37]"
132028,21,validation,"[97, 133, 132, 109, 154, 211, 193, 108, 225, 219, 127, 113, 140, 69, 143, 147, 198, 227, 117, 17, 142]"
132334,21,test,"[11, 14, 20, 11, 7, 12, 20, 19, 42, 44, 34, 31, 25, 21, 29, 22, 23, 16, 15, 16, 13]"
138742,21,validation,"[9, 36, 21, 13, 30, 24, 20, 25, 22, 34, 24, 34, 27, 13, 21, 14, 42, 22, 18, 2, 20]"
142756,21,validation,"[10, 43, 31, 45, 33, 35, 28, 28, 38, 26, 19, 47, 47, 28, 34, 62, 63, 48, 28, 5, 83]"
145330,21,test,"[7, 11, 20, 6, 9, 3, 8, 10, 9, 21, 15, 20, 24, 9, 17, 9, 14, 16, 10, 6, 11]"
145978,21,test,"[20, 35, 32, 34, 31, 27, 23, 30, 44, 49, 31, 56, 46, 25, 49, 32, 41, 51, 33, 13, 32]"
169504,21,test,"[311, 780, 511, 808, 685, 664, 686, 720, 676, 604, 697, 737, 534, 541, 635, 507, 515, 689, 271, 121, 371]"
172033,21,validation,"[18, 44, 20, 22, 47, 178, 177, 99, 77, 12, 15, 23, 13, 8, 19, 7, 9, 11, 16, 2, 5]"
172582,21,validation,"[13, 18, 17, 12, 26, 16, 9, 13, 25, 28, 39, 17, 16, 17, 24, 23, 16, 21, 14, 1, 16]"
173617,21,validation,"[7, 21, 24, 18, 26, 16, 0, 6, 12, 18, 14, 90, 23, 35, 44, 29, 12, 22, 17, 6, 18]"
174436,21,test,"[35, 64, 60, 69, 85, 62, 73, 47, 90, 63, 45, 51, 41, 28, 41, 45, 45, 62, 61, 9, 47]"
210868,20,validation,"[11, 9, 0, 6, 8, 5, 5, 6, 14, 5, 7, 10, 5, 8, 16, 12, 11, 14, 1, 4]"
211309,21,validation,"[11, 12, 24, 10, 10, 10, 13, 25, 9, 12, 12, 19, 11, 3, 7, 3, 18, 21, 30, 4, 14]"
213802,21,test,"[5, 11, 14, 11, 8, 6, 6, 3, 7, 15, 11, 9, 9, 3, 8, 9, 7, 9, 17, 1, 7]"
216151,21,test,"[8, 12, 20, 18, 12, 9, 30, 19, 15, 14, 19, 14, 17, 10, 17, 23, 18, 20, 14, 6, 13]"
225259,21,test,"[8, 17, 11, 15, 11, 5, 9, 10, 10, 18, 15, 14, 14, 8, 0, 20, 14, 5, 23, 1, 14]"
245581,21,validation,"[24, 66, 89, 59, 111, 56, 88, 54, 76, 74, 104, 76, 93, 71, 80, 136, 118, 188, 143, 25, 153]"
248272,21,validation,"[14, 17, 0, 0, 0, 30, 24, 29, 24, 16, 13, 16, 24, 21, 20, 26, 9, 28, 19, 4, 19]"
262384,21,test,"[3, 9, 7, 13, 14, 19, 7, 15, 17, 17, 16, 19, 18, 13, 11, 20, 14, 13, 17, 8, 16]"
267478,21,test,"[11, 44, 23, 9, 4, 12, 5, 5, 13, 12, 0, 0, 5, 8, 6, 9, 4, 6, 13, 2, 11]"
267496,16,validation,"[7, 15, 2, 11, 11, 15, 10, 9, 7, 10, 10, 10, 11, 15, 1, 5]"
370195,21,test,"[20, 35, 26, 48, 41, 44, 63, 20, 48, 56, 90, 47, 96, 59, 57, 34, 29, 37, 56, 8, 52]"
371104,21,test,"[4, 6, 6, 12, 11, 4, 6, 11, 5, 24, 9, 23, 7, 2, 10, 16, 8, 7, 6, 2, 21]"
371239,21,validation,"[11, 10, 8, 6, 19, 9, 6, 13, 3, 21, 17, 13, 27, 21, 16, 16, 9, 14, 16, 51, 9]"
379249,21,validation,"[7, 26, 35, 30, 35, 35, 29, 43, 38, 53, 49, 54, 106, 114, 48, 45, 73, 126, 84, 43, 12]"
397213,21,validation,"[10, 6, 26, 1, 9, 49, 18, 9, 7, 12, 3, 19, 11, 13, 23, 27, 24, 27, 20, 13, 22]"
399220,21,validation,"[6, 23, 17, 20, 26, 19, 19, 13, 28, 35, 31, 58, 91, 82, 16, 25, 17, 16, 30, 14, 37]"
416212,21,validation,"[5, 4, 3, 10, 8, 6, 4, 10, 9, 13, 10, 3, 4, 5, 7, 7, 9, 12, 12, 4, 16]"
687616,21,test,"[15, 15, 10, 0, 0, 0, 7, 10, 22, 19, 23, 23, 25, 12, 22, 15, 9, 13, 18, 3, 14]"
731104,20,test,"[7, 25, 14, 9, 12, 23, 10, 29, 7, 27, 9, 23, 19, 18, 23, 10, 10, 0, 24, 10]"
745945,21,validation,"[5, 15, 2, 2, 45, 39, 47, 25, 21, 9, 6, 9, 21, 11, 12, 16, 15, 10, 7, 7, 16]"
753613,21,test,"[5, 32, 11, 12, 19, 40, 34, 10, 36, 32, 5, 25, 17, 33, 43, 59, 121, 104, 36, 3, 129]"
755584,21,validation,"[9, 31, 13, 13, 78, 27, 30, 73, 35, 51, 20, 20, 28, 16, 53, 66, 95, 62, 57, 10, 54]"
815101,21,test,"[15, 26, 21, 31, 31, 18, 22, 21, 40, 25, 44, 39, 32, 18, 22, 21, 30, 31, 16, 7, 21]"
836125,21,validation,"[11, 42, 19, 23, 29, 42, 48, 59, 32, 39, 34, 29, 32, 24, 23, 31, 24, 74, 113, 8, 33]"
836152,21,validation,"[9, 22, 10, 12, 18, 16, 16, 18, 12, 44, 37, 17, 11, 18, 20, 32, 20, 10, 11, 2, 21]"
836584,20,train-only,"[83, 70, 143, 88, 124, 163, 123, 123, 296, 162, 112, 150, 101, 88, 271, 38, 0, 118, 242, 41]"
837943,21,test,"[40, 85, 50, 80, 102, 89, 79, 107, 102, 94, 96, 84, 89, 66, 63, 55, 112, 88, 95, 22, 78]"
838456,21,test,"[5, 11, 13, 8, 16, 11, 13, 18, 17, 21, 18, 18, 24, 14, 19, 23, 17, 13, 14, 11, 13]"
839356,21,validation,"[6, 21, 30, 53, 89, 18, 57, 38, 28, 13, 46, 33, 32, 19, 68, 35, 148, 94, 73, 6, 92]"
839374,21,test,"[30, 13, 25, 13, 78, 38, 19, 14, 37, 28, 20, 50, 27, 43, 107, 55, 48, 35, 47, 14, 63]"
858886,21,test,"[5, 10, 16, 7, 14, 9, 4, 8, 8, 19, 3, 11, 11, 5, 15, 10, 18, 6, 9, 0, 9]"
865933,21,validation,"[24, 40, 36, 31, 61, 29, 14, 5, 13, 25, 25, 28, 16, 9, 10, 24, 11, 13, 23, 2, 21]"
872260,21,test,"[4, 17, 11, 22, 15, 11, 10, 7, 15, 4, 17, 14, 11, 19, 51, 36, 10, 11, 4, 2, 12]"
877624,21,validation,"[7, 47, 16, 20, 33, 31, 21, 21, 25, 32, 39, 12, 34, 63, 30, 25, 25, 30, 30, 6, 22]"
893824,19,test,"[24, 23, 101, 69, 66, 38, 48, 50, 39, 21, 24, 12, 47, 55, 29, 63, 24, 11, 27]"
903976,21,test,"[41, 7, 0, 11, 28, 16, 20, 28, 25, 33, 19, 21, 8, 14, 17, 22, 34, 19, 33, 5, 31]"
906586,21,validation,"[2, 1, 6, 8, 10, 11, 10, 7, 12, 12, 6, 14, 10, 8, 7, 10, 12, 14, 10, 5, 6]"
906595,21,test,"[2, 5, 11, 6, 0, 7, 10, 10, 9, 9, 7, 11, 17, 11, 7, 9, 7, 13, 14, 4, 7]"
913561,21,validation,"[3, 11, 8, 6, 12, 10, 15, 10, 7, 10, 15, 11, 5, 4, 2, 10, 8, 3, 7, 3, 15]"
999403,21,test,"[2, 5, 5, 3, 11, 14, 15, 8, 10, 6, 6, 18, 14, 28, 34, 13, 36, 38, 16, 5, 16]"
1003147,21,validation,"[25, 54, 43, 151, 47, 57, 60, 79, 79, 17, 39, 49, 72, 60, 115, 212, 25, 122, 201, 4, 36]"
1003156,21,validation,"[24, 65, 39, 44, 63, 56, 89, 34, 67, 55, 56, 89, 142, 108, 127, 112, 182, 166, 12, 40, 60]"
1003183,21,test,"[6, 18, 20, 19, 11, 4, 15, 6, 30, 6, 15, 6, 2, 17, 23, 11, 31, 50, 19, 3, 37]"
1003192,21,test,"[7, 14, 22, 5, 8, 8, 25, 24, 24, 26, 11, 16, 34, 17, 28, 42, 47, 48, 32, 11, 77]"
1006009,21,validation,"[8, 22, 23, 9, 13, 5, 4, 6, 7, 4, 3, 7, 7, 2, 2, 1, 3, 8, 4, 2, 3]"
1006090,21,test,"[2, 6, 14, 9, 14, 16, 16, 19, 12, 15, 19, 33, 19, 36, 8, 19, 36, 29, 15, 2, 21]"
1006099,21,test,"[4, 3, 3, 4, 5, 4, 21, 2, 6, 2, 8, 4, 5, 2, 2, 14, 23, 11, 24, 2, 13]"
1006108,21,validation,"[2, 10, 7, 2, 6, 4, 11, 9, 17, 34, 5, 7, 15, 2, 109, 77, 8, 12, 23, 2, 12]"
1010068,21,validation,"[7, 20, 12, 11, 19, 18, 16, 11, 14, 64, 60, 3, 12, 13, 13, 2, 6, 7, 4, 0, 16]"
1013335,21,validation,"[6, 10, 12, 8, 15, 6, 5, 9, 7, 6, 3, 6, 6, 11, 14, 17, 18, 14, 7, 1, 11]"
1015621,21,validation,"[2, 5, 3, 5, 2, 1, 2, 3, 7, 1, 9, 3, 11, 2, 4, 7, 9, 10, 5, 0, 17]"
1021264,21,test,"[4, 9, 13, 5, 6, 10, 5, 14, 8, 9, 24, 22, 1, 32, 9, 8, 21, 11, 17, 13, 7]"
1024810,21,test,"[18, 59, 49, 34, 38, 66, 55, 50, 53, 75, 85, 113, 113, 68, 20, 36, 0, 121, 86, 28, 21]"
1026871,21,validation,"[4, 13, 17, 13, 20, 9, 14, 10, 13, 9, 10, 8, 9, 1, 4, 8, 16, 14, 10, 0, 11]"
1030948,20,validation,"[2, 7, 6, 12, 4, 9, 1, 5, 5, 7, 9, 5, 3, 5, 3, 6, 10, 5, 3, 5]"
1032532,21,test,"[44, 53, 54, 70, 73, 138, 101, 73, 73, 74, 186, 89, 129, 67, 122, 93, 159, 108, 163, 36, 153]"
1032541,21,validation,"[129, 60, 44, 65, 56, 197, 257, 52, 47, 68, 166, 61, 97, 107, 100, 75, 267, 144, 244, 15, 165]"
1032550,21,validation,"[74, 16, 9, 18, 8, 11, 24, 3, 6, 7, 11, 5, 12, 7, 33, 12, 11, 8, 24, 5, 13]"
1032559,21,test,"[9, 17, 18, 9, 3, 12, 13, 9, 10, 13, 16, 25, 39, 17, 20, 27, 25, 16, 22, 2, 16]"
1032568,21,test,"[123, 10, 10, 4, 11, 8, 7, 10, 6, 10, 6, 4, 10, 5, 6, 17, 10, 8, 6, 4, 3]"
1032586,21,validation,"[9, 21, 17, 16, 11, 28, 13, 12, 12, 33, 19, 20, 18, 11, 19, 24, 31, 21, 28, 5, 19]"
1044502,21,validation,"[6, 30, 13, 23, 22, 12, 17, 11, 12, 22, 14, 11, 17, 13, 19, 11, 5, 8, 15, 7, 18]"
1044610,21,test,"[2, 6, 13, 8, 13, 8, 3, 6, 14, 12, 14, 24, 12, 22, 14, 17, 13, 5, 10, 2, 4]"
1044619,21,validation,"[14, 52, 52, 21, 25, 61, 13, 31, 39, 40, 35, 36, 53, 42, 43, 29, 42, 36, 36, 13, 45]"
1044682,21,validation,"[18, 45, 42, 21, 42, 41, 23, 64, 46, 45, 71, 59, 45, 20, 46, 52, 45, 54, 33, 10, 34]"
1044691,21,test,"[5, 13, 16, 11, 20, 13, 12, 22, 28, 27, 23, 15, 8, 15, 25, 25, 17, 12, 23, 7, 23]"
1047130,21,validation,"[22, 41, 28, 49, 76, 61, 55, 50, 75, 54, 37, 72, 56, 55, 36, 52, 68, 71, 58, 11, 75]"
1047967,21,test,"[184, 106, 118, 113, 82, 94, 130, 174, 87, 138, 86, 95, 114, 66, 128, 171, 80, 102, 111, 16, 104]"
1048975,21,validation,"[2, 4, 5, 4, 12, 8, 5, 25, 6, 23, 14, 8, 17, 10, 19, 14, 15, 40, 64, 3, 35]"
1049776,21,test,"[9, 15, 10, 12, 16, 12, 18, 17, 28, 35, 35, 42, 51, 14, 1, 18, 34, 32, 29, 5, 27]"
1050046,21,validation,"[8, 9, 12, 16, 22, 17, 11, 37, 32, 19, 69, 30, 19, 32, 53, 23, 42, 13, 22, 7, 16]"
1054978,21,test,"[22, 60, 77, 63, 38, 62, 39, 41, 75, 42, 49, 42, 34, 18, 49, 72, 51, 54, 60, 7, 48]"
1056463,21,test,"[9, 21, 25, 37, 37, 63, 39, 29, 30, 66, 22, 38, 46, 30, 39, 43, 57, 72, 116, 88, 33]"
1058713,21,validation,"[36, 30, 27, 23, 40, 34, 30, 40, 27, 43, 41, 60, 57, 28, 41, 41, 46, 37, 51, 10, 69]"
1060630,21,test,"[33, 49, 38, 45, 39, 46, 40, 34, 43, 33, 25, 49, 21, 21, 33, 18, 20, 24, 30, 12, 22]"
1060909,21,validation,"[13, 110, 17, 60, 56, 33, 102, 66, 62, 61, 66, 32, 90, 47, 79, 128, 71, 67, 0, 34, 179]"
1061341,20,test,"[18, 62, 44, 54, 25, 72, 50, 29, 45, 29, 40, 43, 67, 21, 69, 12, 17, 17, 8, 16]"
1061638,18,validation,"[24, 90, 71, 153, 65, 51, 25, 21, 71, 62, 34, 69, 70, 76, 25, 0, 42, 4]"
1063600,21,test,"[11, 10, 14, 4, 14, 7, 11, 8, 17, 7, 9, 9, 14, 7, 20, 8, 18, 13, 5, 2, 10]"
1064473,21,validation,"[28, 39, 37, 31, 58, 40, 40, 48, 29, 45, 27, 37, 27, 22, 37, 44, 88, 64, 29, 8, 22]"
1064572,21,validation,"[5, 7, 6, 7, 14, 16, 14, 15, 6, 13, 6, 8, 17, 6, 7, 6, 6, 4, 5, 14, 8]"
1066570,21,validation,"[36, 120, 92, 76, 135, 99, 56, 116, 91, 36, 33, 57, 47, 80, 55, 22, 26, 12, 0, 5, 33]"
1067074,21,test,"[18, 38, 27, 39, 29, 32, 34, 81, 22, 29, 31, 36, 30, 19, 20, 26, 10, 48, 38, 9, 74]"
1067092,21,validation,"[74, 135, 63, 95, 141, 204, 111, 90, 142, 88, 71, 118, 70, 70, 99, 72, 87, 90, 148, 26, 76]"
1067119,21,test,"[18, 27, 27, 23, 22, 42, 22, 14, 21, 17, 24, 12, 26, 20, 41, 32, 30, 21, 31, 4, 34]"
1067128,20,test,"[11, 8, 17, 13, 3, 5, 5, 3, 8, 7, 10, 10, 10, 6, 7, 12, 9, 12, 14, 10]"
1068883,20,test,"[3, 3, 1, 1, 5, 3, 4, 4, 9, 9, 4, 6, 5, 4, 1, 2, 10, 8, 2, 11]"
1070818,21,test,"[5, 8, 4, 16, 12, 15, 9, 16, 19, 7, 4, 6, 10, 12, 4, 1, 11, 6, 8, 6, 5]"
1070836,21,validation,"[8, 30, 25, 12, 26, 27, 17, 15, 20, 36, 12, 7, 16, 6, 10, 9, 10, 26, 22, 3, 15]"
1071106,21,validation,"[9, 22, 22, 16, 44, 25, 35, 20, 38, 26, 14, 38, 25, 15, 20, 19, 18, 26, 12, 8, 19]"
1071115,21,test,"[7, 11, 20, 4, 16, 10, 13, 14, 10, 15, 6, 5, 1, 3, 2, 5, 4, 10, 19, 8, 9]"
1071124,21,validation,"[11, 10, 7, 18, 13, 30, 14, 15, 15, 13, 14, 7, 10, 6, 3, 16, 10, 11, 5, 5, 2]"
1074823,20,validation,"[60, 227, 365, 398, 303, 121, 345, 365, 393, 42, 48, 0, 48, 0, 36, 59, 0, 9, 79, 0]"
1075651,20,test,"[5, 2, 4, 4, 7, 13, 5, 11, 14, 15, 13, 23, 17, 11, 6, 1, 7, 17, 0, 18]"
1076920,21,validation,"[4, 19, 9, 13, 10, 9, 12, 13, 9, 9, 9, 14, 17, 6, 7, 3, 4, 7, 3, 1, 8]"
1076929,21,test,"[2, 4, 7, 6, 3, 5, 5, 5, 2, 1, 3, 8, 59, 63, 3, 3, 7, 10, 6, 0, 6]"
1076938,20,validation,"[6, 8, 4, 4, 9, 17, 6, 7, 7, 10, 5, 53, 1, 9, 4, 2, 79, 56, 2, 2]"
1077118,21,test,"[7, 10, 7, 0, 0, 0, 0, 0, 0, 0, 10, 24, 17, 14, 16, 18, 28, 34, 46, 3, 13]"
1081060,21,test,"[52, 83, 62, 62, 32, 84, 96, 81, 93, 67, 36, 49, 40, 23, 50, 16, 38, 46, 23, 7, 25]"
1081069,21,test,"[12, 14, 26, 12, 8, 17, 19, 18, 8, 15, 14, 13, 15, 7, 17, 10, 21, 24, 17, 6, 9]"
1081078,21,test,"[8, 11, 6, 12, 17, 19, 8, 22, 3, 21, 21, 8, 13, 6, 16, 15, 11, 5, 2, 5, 11]"
1081087,18,validation,"[11, 14, 28, 19, 35, 24, 31, 51, 42, 13, 37, 16, 5, 6, 0, 8, 28, 16]"
1081321,21,test,"[7, 27, 26, 19, 7, 17, 18, 9, 16, 12, 20, 15, 26, 13, 32, 22, 2, 0, 0, 5, 6]"
1081339,20,test,"[20, 0, 3, 23, 9, 29, 14, 18, 14, 15, 32, 36, 13, 11, 3, 4, 0, 0, 6, 3]"
1082743,21,test,"[5, 6, 12, 4, 4, 2, 9, 12, 8, 16, 13, 9, 15, 13, 24, 9, 75, 60, 0, 11, 83]"
1084498,21,validation,"[15, 25, 33, 0, 16, 18, 15, 31, 35, 42, 25, 24, 27, 22, 23, 31, 25, 23, 37, 6, 7]"
1085749,21,test,"[2, 2, 8, 14, 9, 7, 2, 9, 10, 9, 5, 25, 16, 7, 9, 17, 14, 11, 22, 1, 12]"
1090024,21,test,"[12, 22, 13, 24, 17, 14, 10, 20, 21, 10, 14, 13, 9, 6, 20, 29, 17, 33, 46, 2, 64]"
1090105,21,validation,"[2, 5, 8, 8, 2, 8, 5, 2, 8, 7, 5, 7, 3, 2, 10, 6, 4, 2, 6, 6, 5]"
1090114,21,validation,"[2, 5, 6, 5, 2, 9, 3, 1, 4, 10, 4, 2, 2, 2, 4, 10, 2, 6, 8, 7, 10]"
1090240,21,validation,"[8, 23, 29, 12, 24, 19, 21, 29, 17, 28, 131, 44, 27, 11, 140, 80, 8, 7, 8, 4, 12]"
1090249,16,train-only,"[13, 9, 9, 10, 11, 13, 27, 50, 25, 18, 13, 6, 31, 19, 44, 4]"
1090258,21,test,"[3, 6, 6, 5, 79, 44, 2, 4, 8, 92, 21, 1, 6, 6, 7, 72, 38, 18, 19, 1, 35]"
1090276,21,validation,"[4, 24, 15, 5, 18, 7, 16, 16, 11, 9, 5, 4, 11, 11, 4, 6, 2, 11, 7, 1, 13]"
1090294,20,validation,"[11, 8, 5, 0, 0, 0, 14, 6, 11, 10, 5, 11, 5, 2, 10, 17, 9, 14, 1, 11]"
1090303,21,validation,"[3, 6, 10, 7, 6, 5, 0, 0, 3, 8, 6, 7, 13, 8, 4, 14, 16, 9, 7, 0, 11]"
1092184,21,test,"[7, 15, 16, 12, 25, 16, 8, 10, 14, 38, 23, 10, 28, 23, 13, 20, 19, 21, 28, 7, 22]"
1097143,20,validation,"[30, 30, 10, 12, 40, 9, 23, 33, 22, 32, 20, 38, 56, 117, 52, 42, 63, 77, 7, 74]"
1098493,21,validation,"[6, 7, 6, 11, 7, 12, 8, 6, 8, 5, 9, 8, 8, 15, 10, 14, 7, 13, 11, 4, 7]"
1098502,21,validation,"[3, 8, 7, 4, 9, 3, 9, 3, 9, 9, 4, 5, 5, 5, 6, 2, 10, 9, 10, 1, 5]"
1101553,21,test,"[4, 11, 10, 5, 3, 5, 9, 5, 6, 3, 16, 17, 5, 5, 21, 8, 2, 1, 5, 1, 1]"
1101562,21,test,"[6, 9, 8, 10, 19, 4, 13, 9, 10, 0, 7, 27, 31, 8, 6, 14, 13, 2, 6, 4, 7]"
1101571,21,test,"[2, 7, 18, 7, 6, 7, 3, 8, 4, 3, 2, 2, 81, 87, 1, 57, 56, 8, 7, 1, 17]"
1101661,21,validation,"[5, 22, 26, 14, 41, 23, 14, 45, 38, 27, 26, 57, 27, 27, 31, 53, 65, 39, 53, 4, 27]"
1101769,21,test,"[8, 3, 0, 0, 18, 20, 22, 17, 14, 1, 0, 2, 0, 0, 5, 7, 20, 32, 20, 0, 33]"
